;6 bar;7 bar ;8 bar;9 bar;10 bar;11 bar;12 bar;13 bar;14 bar;15 bar;16 bar;17 bar;18 bar
313;4,403460807;5,22848072;6,088110475;6,992457853;7,959316224;9,024863414;10,27596291;11,98086448;15,51847436;593,920643;594,0331906;594,1455416;594,2576968
314;4,379587223;5,198058253;6,049146689;6,941461188;7,889585169;8,921598712;10,09998583;11,59528988;14,07607223;24,80295662;592,4333993;592,5474281;592,6612542
315;4,356234604;5,168245991;6,01131391;6,89262805;7,824289967;8,828495683;9,951479382;11,30747824;13,26737284;18,00748883;590,8238647;590,9396166;591,0551588
316;4,088677588;5,138981724;5,974484238;6,845661947;7,762671875;8,74334559;9,822727214;11,0805255;12,74151949;15,7530022;34,87765345;589,3218655;589,4391706
317;4,06715317;5,110214133;5,938548713;6,800320986;7,704143478;8,664550907;9,708666543;10,8939793;12,36566838;14,61556864;20,9059601;587,6939234;587,8130404
318;4,045539885;5,081892327;5,903413479;6,756405227;7,64824265;8,590927385;9,605843552;10,7356163;12,07865966;13,91963967;17,53179088;52,97001989;586,176509
319;4,023997209;5,05397891;5,868996877;6,713747492;7,59459865;8,521578422;9,511823997;10,5976961;11,84851274;13,44194671;15,99928598;24,06799005;584,5293066
320;4,002510055;5,026446092;5,835227179;6,672206504;7,54291204;8,455812072;9,424844112;10,47508739;11,65692131;13,08763203;15,11210948;19,33628072;83,03071141
321;3,980991001;4,999245539;5,802041141;6,631661683;7,492936047;8,393084768;9,343595107;10,36425949;11,49267134;12,80970048;14,52415396;17,37908667;27,14096366
322;3,959453238;4,972352013;5,769379908;6,592009125;7,44446555;8,332963409;9,267085117;10,26270564;11,3485216;12,58228149;14,0986567;16,29600849;21,05859955
323;3,93785132;4,945732714;5,737197184;6,553158457;7,397328025;8,275097497;9,194547801;10,16859898;11,21959495;12,38998855;13,77094779;15,59767141;18,70802965
324;3,91621355;4,919353185;5,705445776;6,515030361;7,351376864;8,219199816;9,125381217;10,08057627;11,1024908;12,22311234;13,50657932;15,1017263;17,44630789
325;3,894519158;4,893004623;5,674084277;6,47755464;7,306486285;8,16503161;9,059104847;9,997599331;10,99476772;12,0752327;13,28555997;14,72501898;16,64731127
326;3,872753383;4,866995717;5,64307484;6,440668689;7,262547481;8,112393041;8,995330247;9,918863222;10,89462913;11,94194039;13,09551099;14,42435079;16,08676098
327;3,850904551;4,841156279;5,612382698;6,4043163;7,219465119;8,061114514;8,933739179;9,843733509;10,80072286;11,82011038;12,92836851;14,17511039;15,66476997
328;3,828959343;4,815469179;5,58197733;6,368446694;7,177155743;8,011050825;8,874066391;9,771702206;10,71201196;11,70746754;12,77866094;13,96227184;15,33027167
329;3,806907775;4,790009253;5,551826038;6,333013723;7,135544996;7,96207652;8,816090783;9,702356976;10,62768719;11,60231719;12,642549;13,77615434;15,05451086
330;3,784738599;4,764515898;5,521902137;6,297975201;7,094566479;7,914082275;8,759624171;9,635359371;10,54710629;11,50337025;12,51726177;13,61024695;14,82008741
331;3,762440388;4,739116019;5,49217926;6,263292339;7,05416042;7,86697198;8,704505617;9,570427783;10,46975305;11,4096291;12,40075;13,46001403;14,61586832
