;6 bar;7 bar ;8 bar;9 bar;10 bar;11 bar;12 bar;13 bar;14 bar;15 bar;16 bar;17 bar;18 bar
356;1848304,682;1818352,143;1814424,413;1810446,737;1805755,234;1788254,39;1772926,484;1759211,151;1746712,201;1735140,316;1724277,857;1713956,34;1704041,559
357;1850670,115;1820764,57;1816875,122;1812937,063;1808948,698;1796054,115;1780331,466;1766307,913;1753569,235;1741813,539;1730814,345;1720396,995;1710423,098
358;1853034,979;1823175,172;1819323,357;1815424,219;1811476,137;1804036,923;1787896,312;1773544,552;1760548,439;1748592,805;1737441,762;1726914,014;1716866,561
359;1855399,325;1825584,031;1821769,214;1817908,322;1813999,8;1810042,004;1795628,385;1780927,965;1767656,413;1755484,555;1744166,536;1733513,937;1723378,73
360;1857763,201;1827991,226;1824212,789;1820389,483;1816519,817;1812602,218;1803535,206;1788465,166;1774899,823;1762495,256;1750995,067;1740203,247;1729966,295
361;1860126,657;1830396,833;1826654,173;1822867,809;1819036,315;1815158,182;1811231,818;1796163,295;1782285,422;1769631,414;1757933,748;1746988,35;1736635,896
362;1862489,738;1832800,927;1829093,455;1825343,408;1821549,417;1817710,039;1813823,749;1804029,634;1789820,062;1776899,596;1764988,983;1753875,614;1743393,93
363;1864852,491;1835203,582;1831530,723;1827816,382;1824059,245;1820257,929;1816410,975;1812071,63;1797510,71;1784306,437;1772167,208;1760871,393;1750246,798
364;1867214,961;1837604,867;1833966,061;1830286,83;1826565,913;1822801,986;1818993,651;1815139,433;1805364,46;1791858,664;1779474,906;1767982,041;1757200,84
365;1869577,192;1840004,852;1836399,552;1832754,849;1829069,536;1825342,341;1821571,927;1817756,881;1813388,554;1799563,105;1786918,622;1775213,935;1764262,369
366;1871939,226;1842403,605;1838831,276;1835220,535;1831570,223;1827879,122;1824145,949;1820369,354;1816547,911;1807426,704;1794504,981;1782573,491;1771437,705
367;1874301,106;1844801,191;1841261,31;1837683,978;1834068,082;1830412,452;1826715,86;1822977,012;1819194,545;1815367,021;1802240,698;1790067,18;1778733,173
368;1876662,872;1847197,675;1843689,732;1840145,269;1836563,216;1832942,451;1829281,796;1825580,012;1821835,795;1818047,77;1810132,597;1797701,543;1786155,134
369;1879024,565;1849593,118;1846116,616;1842604,494;1839055,726;1835469,235;1831843,892;1828178,508;1824471,835;1820722,559;1816929,294;1805483,205;1793709,997
370;1881386,223;1851987,582;1848542,034;1845061,739;1841545,712;1837992,919;1834402,276;1830772,646;1827102,832;1823391,577;1819637,555;1813418,899;1801404,235
371;1883747,884;1854381,126;1850966,055;1847517,085;1844033,268;1840513,611;1836957,075;1833362,569;1829728,947;1826055,005;1822339,477;1818581,027;1809244,399
